Total,Sport,Age,Height,Weight,Sex,HWbmi
0,Cycling - Road,29,163,56,F,21.07719523
0,Cycling - Road,33,167,61,F,21.87242282
0,Cycling - Road,23,180,79,M,24.38271605
0,Tennis,27,167,68,F,24.38237298
0,Basketball,21,191,89,M,24.39626107
0,Cycling - Road,20,180,74,M,22.83950617
0,Basketball,27,203,104,M,25.23720546
0,Tennis,27,,,M,
0,Basketball,30,203,120,M,29.11985246
0,Basketball,29,200,103,M,25.75
0,Cycling - Road,28,189,69,M,19.31636852
0,Basketball,25,190,82,F,22.71468144
0,Tennis,21,190,81,M,22.43767313
0,Basketball,22,204,100,M,24.02921953
0,Basketball,28,204,,M,
0,Tennis,25,188,82,M,23.20054323
0,Tennis,27,183,83,M,24.78425752
0,Cycling - Road,26,168,55,M,19.48696145
0,Tennis,25,162,59,F,22.48132907
0,Tennis,22,169,61,F,21.3577956
0,Basketball,23,206,104,M,24.50749364
0,Cycling - Road,25,170,58,M,20.06920415
0,Basketball,31,198,,M,
0,Basketball,22,190,86,M,23.82271468
0,Cycling - Road,27,180,74,M,22.83950617
0,Cycling - Road,31,183,78,M,23.29122996
0,Basketball,25,189,84,M,23.51557907
0,Basketball,22,180,68,F,20.98765432
0,Cycling - Road,33,181,72,M,21.97735112
0,Tennis,25,164,58,F,21.56454491
0,Basketball,22,178,70,F,22.09317005
0,Cycling - Road,35,174,68,M,22.46003435
0,Cycling - Road,29,157,48,F,19.47340663
0,Basketball,19,193,79,F,21.20862305
0,Cycling - Road,23,176,64,F,20.66115702
0,Tennis,28,181,82,M,25.029761
0,Cycling - Road,28,183,77,M,22.99262444
0,Tennis,30,185,85,M,24.83564646
0,Basketball,22,179,78,F,24.34380949
0,Cycling - Road,33,167,52,F,18.64534404
0,Cycling - Road,31,166,52,F,18.87066338
0,Basketball,27,196,84,M,21.86588921
0,Basketball,33,182,70,F,21.13271344
0,Tennis,30,175,73,M,23.83673469
0,Basketball,30,180,72,F,22.22222222
0,Cycling - Road,33,,67,M,
0,Tennis,27,188,78,M,22.06880942
0,Basketball,26,196,91,F,23.68804665
0,Basketball,25,211,111,M,24.93205454
0,Basketball,26,195,90,M,23.66863905
1,Cycling - Road,27,185,71,M,20.74506939
0,Cycling - Road,27,182,69,M,20.83081753
0,Tennis,25,179,77,M,24.03170937
0,Basketball,32,165,61,F,22.40587695
0,Basketball,22,203,103,M,24.99454003
0,Tennis,25,173,68,F,22.72043837
0,Cycling - Road,24,179,72,M,22.47120876
0,Basketball,20,190,81,F,22.43767313
0,Basketball,32,192,102,M,27.66927083
0,Cycling - Road,29,163,54,F,20.32443826
0,Cycling - Road,38,174,69,M,22.79032897
0,Basketball,25,190,95,M,26.31578947
0,Cycling - Road,35,165,60,M,22.03856749
0,Cycling - Road,30,183,70,M,20.90238586
0,Cycling - Road,24,175,58,F,18.93877551
0,Basketball,35,196,91,M,23.68804665
0,Basketball,32,202,101,M,24.75247525
0,Tennis,24,188,75,M,21.22000905
0,Basketball,27,191,80,F,21.92922343
