Total ,Sport,Age,Height,Weight,Sex
0,Swimming,20,202,96,M
0,Wrestling,26,180,84,M
0,Canoe Sprint,36,,,M
0,Modern Pentathlon,22,165,53,F
0,Handball,30,173,70,F
0,Athletics,25,169,60,F
0,Table Tennis,32,175,80,M
0,Athletics,20,170,48,F
0,Athletics,22,167,52,F
0,Athletics,24,170,69,F
0,Synchronised Swimming,23,171,,F
0,Rowing,27,155,50,F
0,Volleyball,22,194,104,M
0,Rowing,25,186,70,M
0,Cycling - Road,29,157,48,F
0,Sailing,33,180,70,M
0,Canoe Slalom,26,165,63,M
0,Athletics,24,175,74,M
0,Athletics,27,168,73,M
1,Rowing,40,188,75,M
0,Synchronised Swimming,17,173,,F
1,Judo,25,160,48,F
0,Swimming,24,,,F
0,Water Polo,27,190,88,M
0,Athletics,18,175,82,M
0,Shooting,34,176,98,M
0,Triathlon,24,186,75,M
0,Football,23,172,69,M
0,Judo,30,184,100,M
0,Hockey,31,184,83,M
0,Swimming,18,158,40,F
0,Basketball,19,193,79,F
0,Swimming,26,170,60,F
0,Rowing,26,180,72,M
0,Cycling - Road,23,176,64,F
0,Hockey,31,185,79,M
0,Handball,22,160,68,F
0,Boxing,21,160,,M
0,Judo,25,173,66,M
0,Shooting,26,160,117,F
0,Wrestling,23,166,55,M
0,Athletics,23,186,120,M
0,Taekwondo,28,179,,F
0,Boxing,22,178,,M
0,Boxing,24,179,,M
0,Shooting,44,168,64,M
0,Rowing,35,178,70,F
0,Hockey,23,168,61,F
0,Athletics,18,160,46,F
0,Swimming,26,188,76,M
0,Tennis,28,181,82,M
0,Cycling - BMX,26,172,60,M
0,Athletics,29,168,70,F
0,Equestrian,27,187,80,M
0,Swimming,14,162,50,F
0,Badminton,26,175,72,M
0,Swimming,23,173,69,F
1,Archery,22,170,62,F
0,Sailing,26,183,67,M
0,Athletics,29,165,58,M
0,Judo,30,168,66,M
0,Diving,20,164,64,F
0,Athletics,27,170,59,F
0,Judo,24,165,66,M
0,Shooting,45,183,83,M
0,Athletics,30,187,98,M
0,Fencing,25,,,M
0,Cycling - Road,28,183,77,M
1,Swimming,21,183,71,F
0,Weightlifting,26,168,85,M
0,Gymnastics - Artistic,16,152,,F
0,Judo,25,170,66,M
0,Equestrian,42,167,64,F
0,Badminton,24,163,55,F
0,Sailing,39,191,109,M
0,Archery,22,175,72,M
0,Shooting,35,180,83,M
0,Swimming,19,165,55,F
0,Gymnastics - Rhythmic,18,162,,F
0,Athletics,29,183,63,M
0,Swimming,25,177,73,F
0,Fencing,21,180,75,M
0,Canoe Sprint,32,173,64,F
0,Handball,35,192,93,M
0,Shooting,44,175,70,M
0,Weightlifting,24,152,53,F
0,Diving,22,183,79,M
0,Athletics,31,168,58,M
0,Football,23,188,78,M
0,Tennis,30,185,85,M
0,Synchronised Swimming,22,168,,F
0,Trampoline,20,171,,M
0,Athletics,23,175,60,F
0,Diving,25,164,57,F
0,Rowing,32,191,92,M
0,Wrestling,31,168,68,M
0,Water Polo,24,170,65,F
0,Volleyball,33,204,90,M
1,Swimming,22,196,98,M
0,Athletics,39,177,60,M
0,Boxing,23,174,,F
0,Athletics,21,175,61,F
0,Taekwondo,18,180,,M
0,Swimming,25,192,90,M
0,Athletics,25,,,M
0,Triathlon,30,189,77,M
0,Athletics,26,168,55,F
0,Athletics,29,165,52,F
0,Athletics,24,184,62,M
0,Basketball,22,179,78,F
0,Athletics,25,170,73,M
0,Equestrian,52,183,77,M
0,Water Polo,31,189,86,M
0,Sailing,31,171,67,F
0,Football,22,186,77,M
1,Table Tennis,25,163,57,F
1,Gymnastics - Artistic,24,160,,M
0,Athletics,32,160,49,F
1,Canoe Slalom,29,172,63,F
0,Athletics,30,,,F
0,Shooting,32,176,80,M
0,Athletics,22,,,F
0,Canoe Sprint,32,194,92,M
0,Athletics,36,165,63,F
0,Gymnastics - Artistic,17,157,,F
0,Handball,27,180,82,F
0,Boxing,29,163,,F
0,Cycling - Road,33,167,52,F
0,Cycling - Road,31,166,52,F
0,Shooting,29,180,106,M
0,Equestrian,44,173,80,M
0,Handball,22,188,92,M
0,Handball,35,199,106,M
0,Athletics,24,,,M
0,Hockey,27,174,73,M
0,Athletics,35,170,54,F
0,Basketball,27,196,84,M
0,Rowing,35,191,93,M
0,Fencing,33,193,83,M
0,Sailing,35,181,81,M
0,Handball,27,180,74,F
0,Handball,32,180,71,F
0,Beach Volleyball,25,178,75,F
0,Modern Pentathlon,24,182,73,M
0,Swimming,26,180,65,F
0,"Cycling - Mountain Bike, Cycling - Road, Cycling - Track",20,165,53,F
0,Canoe Slalom,24,183,76,M
0,Gymnastics - Artistic,21,146,,F
0,Volleyball,32,172,66,F
0,Weightlifting,25,165,75,F
0,Basketball,33,182,70,F
0,Tennis,30,175,73,M
0,Equestrian,46,176,60,F
0,Athletics,24,190,72,M
0,Athletics,24,182,62,F
1,Swimming,23,204,90,M
0,Football,22,178,74,M
0,Football,16,163,60,F
0,Judo,24,189,123,M
0,Fencing,21,168,56,F
0,Fencing,34,193,87,M
0,Cycling - BMX,19,183,91,M
0,Athletics,33,176,70,M
0,Water Polo,33,183,90,M
0,Water Polo,28,192,98,M
0,Synchronised Swimming,24,169,,F
0,Athletics,28,163,51,F
0,Judo,27,170,66,M
0,Football,29,170,75,M
1,Weightlifting,29,165,62,M
0,Beach Volleyball,25,186,81,M
0,Athletics,33,172,55,M
0,Athletics,28,174,58,F
0,Swimming,23,193,78,M
0,Football,21,169,58,F
1,Diving,25,152,52,F
0,Basketball,30,180,72,F
0,Water Polo,25,193,91,M
0,Athletics,33,182,72,M
0,Athletics,33,182,73,M
0,Swimming,25,186,63,F
0,Athletics,25,190,78,M
0,Athletics,20,192,80,M
0,Athletics,28,167,48,F
0,Swimming,23,173,63,F
0,Swimming,18,167,55,F
0,Judo,32,173,57,F
0,Swimming,26,186,81,M
0,Triathlon,23,170,55,F
0,Hockey,23,163,62,F
0,Athletics,23,169,90,F
0,Swimming,18,178,72,M
0,Water Polo,28,191,86,M
0,Badminton,25,170,58,F
0,Athletics,29,178,68,F
1,Badminton,33,188,78,M
0,Athletics,22,192,95,F
0,Cycling - Road,33,,67,M
0,Football,28,175,68,F
0,Synchronised Swimming,24,158,,F
0,Boxing,28,176,,F
0,Athletics,24,174,63,F
0,Canoe Sprint,21,186,85,M
0,Hockey,20,180,67,F
0,Athletics,31,165,48,F
0,Sailing,19,185,70,M
0,Sailing,18,179,69,M
0,Tennis,27,188,78,M
0,Fencing,40,171,55,F
0,Boxing,22,162,,M
0,Handball,31,178,65,F
0,Rowing,32,177,75,F
0,Canoe Sprint,26,175,78,F
1,Canoe Slalom,29,188,77,M
0,Sailing,30,170,60,M
0,Athletics,27,170,59,F
0,Athletics,30,180,64,M
0,Hockey,22,168,60,F
1,Rowing,25,185,90,M
0,Equestrian,43,178,74,M
0,Canoe Sprint,28,174,67,F
0,Handball,21,179,65,F
0,Hockey,29,156,63,F
1,"Cycling - Mountain Bike, Cycling - Track",26,174,90,M
1,Rowing,32,191,88,M
0,Athletics,29,189,135,M
0,Synchronised Swimming,21,174,,F
0,Rowing,24,199,97,M
0,Swimming,27,172,62,F
0,Equestrian,28,165,50,F
0,Athletics,37,165,62,F
0,Canoe Sprint,33,183,84,M
0,Athletics,31,170,64,F
0,Water Polo,24,187,86,M
0,Athletics,25,196,98,M
0,Canoe Sprint,25,155,59,F
0,Canoe Sprint,23,170,73,M
0,Rowing,24,,,M
0,Basketball,26,196,91,F
0,Hockey,29,183,79,M
0,Gymnastics - Rhythmic,20,167,,F
1,Canoe Slalom,18,166,60,F
1,Equestrian,43,198,76,M
0,Handball,26,182,,F
0,Rowing,29,175,70,M
0,Beach Volleyball,30,174,68,F
1,Rowing,29,188,79,F
0,Swimming,23,183,77,M
0,Football,28,178,65,F
0,Athletics,21,170,49,F
0,Hockey,35,160,57,F
0,Athletics,30,172,57,F
0,Rowing,32,188,86,M
0,Athletics,24,168,57,F
1,Archery,36,181,110,M
0,Handball,25,180,66,F
0,Table Tennis,22,195,88,M
0,Hockey,32,182,78,F
3,Swimming,17,185,75,F
0,Shooting,32,173,55,F
0,Wrestling,25,169,72,F
0,Rowing,32,180,75,F
0,Swimming,22,188,84,M
0,Swimming,24,186,86,M
0,Athletics,21,172,73,M
0,Swimming,20,194,85,M
0,Rowing,19,186,80,M
0,Athletics,25,152,57,F
0,Water Polo,26,178,72,F
0,Athletics,29,175,75,M
0,Rowing,28,191,95,M
0,Swimming,23,,,M
0,Wrestling,33,173,66,M
0,Athletics,22,188,79,M
0,Equestrian,44,185,87,M
0,Athletics,22,178,68,M
0,Equestrian,46,180,62,F
0,Triathlon,31,171,54,F
0,Equestrian,44,180,78,M
0,Basketball,25,211,111,M
0,Football,23,183,78,M
0,Athletics,24,196,92,M
0,Sailing,22,187,82,M
0,Table Tennis,24,181,75,M
0,Sailing,22,172,58,F
0,Hockey,29,181,85,M
0,Volleyball,22,191,86,M
0,Basketball,26,195,90,M
0,Athletics,28,179,57,F
0,Swimming,24,183,74,F
0,Football,20,180,75,M
0,Triathlon,28,168,50,F
0,Athletics,27,183,110,F
0,Triathlon,30,194,75,M
0,Swimming,37,184,80,M
0,Swimming,20,190,84,M
0,Taekwondo,24,175,,F
1,Cycling - Road,27,185,71,M
0,Athletics,24,200,100,M
0,Trampoline,20,162,,F
0,Hockey,34,166,58,F
0,Badminton,28,181,77,M
0,Swimming,16,177,63,F
0,Athletics,22,182,100,M
0,Athletics,25,161,50,F
0,Hockey,20,186,72,M
0,Badminton,30,181,87,M
0,Handball,22,183,70,F
0,Fencing,33,154,48,F
0,Football,20,170,70,M
0,Synchronised Swimming,29,169,,F
0,Hockey,27,190,92,M
0,Cycling - Road,27,182,69,M
0,Badminton,23,160,60,F
0,Swimming,27,184,77,M
0,Wrestling,30,174,66,M
0,Hockey,31,157,51,F
0,Athletics,24,164,56,M
0,Athletics,30,167,54,M
0,Gymnastics - Rhythmic,18,168,,F
0,Tennis,25,179,77,M
0,Sailing,30,170,58,F
0,Shooting,29,176,75,M
0,Rowing,29,180,75,F
0,Rowing,30,189,90,M
0,Rowing,31,193,81,F
0,Swimming,22,172,59,F
0,Rowing,29,188,95,M
0,Swimming,30,167,60,M
0,Shooting,39,171,72,M
0,Weightlifting,32,187,105,M
0,Athletics,28,202,96,M
0,Fencing,23,171,61,F
0,Football,20,173,64,M
0,Athletics,31,186,66,M
0,Athletics,16,170,45,F
0,Athletics,17,157,52,F
0,Basketball,32,165,61,F
0,Sailing,23,176,70,F
0,Handball,29,177,69,F
0,Table Tennis,26,185,82,M
0,Wrestling,28,178,96,M
0,Basketball,22,203,103,M
0,Badminton,35,183,73,M
0,Football,20,168,61,F
0,Wrestling,23,178,84,M
0,Sailing,34,184,73,M
0,Boxing,21,170,,M
0,Gymnastics - Artistic,27,165,,M
1,Fencing,24,174,64,F
0,Swimming,20,,,M
0,Boxing,21,,,M
0,Football,23,185,73,M
0,Athletics,29,185,75,M
0,Football,21,166,63,F
0,Tennis,25,173,68,F
0,Wrestling,26,176,84,M
0,Equestrian,42,185,70,M
0,Athletics,25,,,M
1,Archery,29,178,98,M
0,Athletics,25,174,63,F
0,Athletics,34,174,53,F
0,Shooting,39,165,57,F
0,Athletics,25,168,61,F
0,Diving,27,166,60,F
0,Athletics,28,175,95,F
0,Beach Volleyball,26,174,66,F
0,Water Polo,27,193,93,M
0,Cycling - Road,24,179,72,M
0,Diving,27,179,70,M
1,Judo,23,170,60,M
0,Shooting,25,165,60,F
0,Cycling - Track,24,177,66,F
0,Athletics,29,165,52,F
0,Volleyball,31,202,80,F
0,Swimming,23,164,55,F
0,Trampoline,24,167,,M
0,Canoe Sprint,26,,,F
0,Swimming,20,169,62,F
0,Fencing,27,178,75,M
0,Water Polo,22,181,67,F
0,Swimming,20,186,78,M
0,Archery,22,183,68,M
0,Archery,40,174,75,M
0,Swimming,20,165,54,F
0,Water Polo,22,173,75,F
0,Swimming,25,179,73,F
0,Badminton,22,168,56,F
0,Hockey,32,165,57,F
0,Table Tennis,29,179,82,M
0,Basketball,20,190,81,F
0,Rowing,29,182,75,F
0,Gymnastics - Rhythmic,24,164,,F
0,Basketball,32,192,102,M
0,"Cycling - Road, Cycling - Track",25,170,68,F
0,Judo,24,165,63,F
0,Handball,30,190,85,M
0,Swimming,23,,,M
0,Athletics,42,172,64,M
0,Canoe Sprint,24,,,M
0,Athletics,34,177,59,M
0,Water Polo,21,188,90,F
0,Judo,24,155,52,F
0,Volleyball,36,191,89,M
0,Athletics,31,167,52,F
0,Athletics,27,173,57,M
0,Athletics,23,,,M
0,Weightlifting,25,174,105,M
0,Taekwondo,22,172,,M
0,Water Polo,28,198,92,M
0,Judo,27,173,66,M
0,Taekwondo,24,188,,M
0,Cycling - Road,29,163,54,F
1,Diving,18,165,55,M
0,Cycling - Track,30,161,60,F
0,Water Polo,29,190,91,M
0,Gymnastics - Artistic,22,166,,F
0,Swimming,18,168,57,F
0,Swimming,28,,,F
0,Beach Volleyball,33,192,92,M
0,Swimming,22,172,60,F
0,Table Tennis,33,178,69,M
0,Athletics,30,180,62,M
0,Gymnastics - Artistic,21,170,,M
0,Handball,24,194,94,M
0,Sailing,30,180,73,M
0,Football,21,167,75,M
0,Cycling - Road,38,174,69,M
0,Athletics,25,175,73,M
0,Judo,21,188,100,M
0,Athletics,18,,,M
0,Swimming,21,183,73,M
0,Triathlon,35,179,66,M
0,Swimming,25,181,69,F
0,Athletics,26,178,61,M
0,Athletics,34,162,52,F
0,Wrestling,30,175,74,M
0,Hockey,26,156,54,F
0,Athletics,24,178,65,F
0,Athletics,21,,,F
0,Athletics,25,,,M
0,Football,27,170,62,F
0,Water Polo,29,193,93,M
0,Judo,24,184,90,M
0,Handball,25,166,64,F
0,Swimming,23,171,67,M
0,Table Tennis,30,174,69,M
0,Sailing,34,,,M
0,Rowing,25,179,69,F
0,Hockey,19,164,58,F
0,Fencing,27,170,55,F
0,Water Polo,25,196,96,M
0,Athletics,23,182,69,M
0,Table Tennis,19,,,M
0,Athletics,28,174,49,F
0,Water Polo,29,184,90,M
0,Canoe Slalom,20,163,55,F
0,Swimming,32,185,72,M
0,Swimming,22,175,60,F
0,Rowing,22,168,59,F
0,Beach Volleyball,36,201,95,M
0,Swimming,26,178,84,M
1,Judo,25,173,77,F
0,Basketball,25,190,95,M
0,Water Polo,22,177,75,F
1,Rowing,26,195,101,M
0,Rowing,30,181,72,M
0,Water Polo,19,167,59,F
0,Rowing,26,170,50,F
0,Football,38,180,75,M
0,Water Polo,27,190,76,F
0,Triathlon,28,177,62,M
0,Cycling - Road,35,165,60,M
0,Gymnastics - Artistic,21,161,,F
0,Cycling - Road,30,183,70,M
0,Handball,34,187,98,M
0,Handball,36,192,97,M
0,Athletics,24,185,73,M
0,Athletics,32,172,58,M
0,Cycling - Road,24,175,58,F
1,Swimming,28,193,85,M
0,Rowing,37,195,85,M
0,Basketball,35,196,91,M
0,Volleyball,34,185,70,F
0,Table Tennis,32,187,82,M
0,Shooting,38,170,74,M
0,Water Polo,24,187,78,M
0,Athletics,22,162,52,F
0,Basketball,32,202,101,M
0,Volleyball,28,183,80,M
0,Tennis,24,188,75,M
0,Gymnastics - Artistic,32,163,,M
1,Weightlifting,27,161,63,F
0,Shooting,46,160,50,F
0,Athletics,27,,,M
0,Sailing,34,178,64,F
0,Archery,24,193,75,M
0,Diving,21,,,M
0,Athletics,25,180,77,M
0,Water Polo,25,185,82,M
0,Swimming,19,198,87,M
0,Rowing,27,186,81,M
0,Rowing,27,185,81,M
0,Diving,31,162,57,F
0,Taekwondo,20,168,,F
0,Swimming,23,191,83,M
0,Cycling - Track,20,167,58,F
0,Cycling - Track,19,190,86,M
0,Athletics,29,186,95,F
0,Swimming,23,192,88,M
0,Shooting,31,184,82,M
0,Swimming,16,175,54,F
0,Athletics,23,185,84,F
0,Football,22,193,86,M
0,Synchronised Swimming,27,171,,F
1,Rowing,26,178,70,F
0,Trampoline,22,170,,M
0,Hockey,23,174,78,F
0,Judo,26,167,60,M
0,Athletics,25,180,76,M
1,Judo,21,163,52,F
0,Cycling - Track,19,167,65,F
0,Water Polo,25,202,113,M
1,Shooting,25,156,53,F
0,Water Polo,29,192,107,M
0,Swimming,29,183,82,M
0,Rowing,30,194,100,M
0,Weightlifting,20,168,68,M
0,Hockey,28,158,50,F
0,Archery,36,178,84,M
0,Basketball,27,191,80,F
0,Judo,26,165,60,M
0,Volleyball,35,192,85,M
0,Shooting,28,188,88,M
0,Weightlifting,37,163,56,M
0,Tennis,23,180,69,F
0,Tennis,21,180,69,M
0,Wrestling,22,170,66,M
0,Athletics,20,166,58,F
0,Wrestling,32,185,96,M
0,Badminton,23,166,50,F
0,Hockey,22,180,80,M
0,Water Polo,31,188,92,M
0,Handball,26,204,110,M
0,Cycling - Road,28,180,65,M
1,Shooting,28,186,95,M
0,Beach Volleyball,29,194,92,M
0,Beach Volleyball,28,180,69,F
0,Gymnastics - Artistic,20,160,,F
0,Trampoline,22,171,,F
0,Athletics,25,170,50,F
0,Sailing,27,168,68,F
0,Fencing,26,166,56,F
0,Canoe Sprint,32,168,67,F
0,Athletics,23,,72,F
0,Fencing,22,178,76,M
0,Athletics,24,172,60,M
0,Triathlon,29,178,69,M
0,Swimming,17,169,61,F
0,Gymnastics - Artistic,25,162,,M
0,Wrestling,25,170,66,M
0,Swimming,27,184,77,M
0,Gymnastics - Artistic,16,147,,F
0,Basketball,28,178,64,F
0,Gymnastics - Rhythmic,17,172,,F
0,Basketball,19,182,79,F
0,Sailing,31,165,65,F
0,Volleyball,23,194,75,F
0,Shooting,38,186,85,M
0,Football,23,187,83,M
0,Diving,20,158,48,F
1,Cycling - Track,25,165,65,F
0,Sailing,29,185,88,M
0,Athletics,23,175,108,F
0,Boxing,23,186,,M
0,Gymnastics - Artistic,20,,,F
0,Judo,28,178,90,M
0,Athletics,27,191,87,M
0,Volleyball,31,184,83,M
0,Athletics,24,,,M
0,"Cycling - Road, Cycling - Track",31,158,60,F
1,Judo,22,,89,M
0,Gymnastics - Artistic,20,175,,M
0,Hockey,27,181,73,M
0,Hockey,23,163,59,F
0,Athletics,34,,,F
0,Athletics,29,175,58,F
0,Fencing,20,171,70,F
0,Taekwondo,22,185,,M
0,Sailing,24,180,72,M
0,Swimming,22,175,60,F
0,Gymnastics - Artistic,26,171,,M
0,Cycling - Road,33,,,F
0,Sailing,34,180,82,M
0,Handball,29,163,68,F
0,Athletics,21,178,82,M
0,Football,21,169,65,F
0,Gymnastics - Artistic,28,171,,M
0,Athletics,25,185,55,F
0,Football,22,173,65,M
0,Athletics,20,188,81,M
0,Athletics,23,179,83,M
0,Judo,35,187,90,M
0,Rowing,26,186,73,M
0,Water Polo,21,178,69,F
0,Swimming,26,180,67,F
0,Water Polo,36,192,105,M
0,Shooting,24,180,72,M
0,Diving,21,170,66,M
0,Athletics,20,174,59,F
0,Cycling - Road,25,179,73,M
0,Swimming,23,183,78,M
0,Canoe Sprint,32,191,100,M
0,Athletics,34,170,56,F
0,Wrestling,24,179,74,M
0,Cycling - Track,24,185,75,M
0,Hockey,21,187,82,M
0,Cycling - Mountain Bike,32,175,61,F
0,Judo,30,175,60,M
0,Swimming,15,170,55,F
0,Hockey,24,179,76,M
0,Swimming,20,190,90,M
0,Athletics,29,,,M
0,Athletics,24,191,80,M
0,Swimming,22,193,92,M
0,Cycling - Road,37,179,79,M
0,Athletics,24,178,55,F
0,Shooting,31,168,65,M
0,Taekwondo,26,176,,F
0,Wrestling,32,173,84,M
1,Rowing,36,183,80,F
0,Triathlon,25,166,60,M
0,Sailing,41,171,65,F
0,Archery,21,161,55,F
0,Swimming,23,186,82,M
0,Swimming,20,172,60,F
0,Volleyball,27,195,98,M
0,Tennis,26,190,77,M
0,Swimming,20,178,73,F
0,Volleyball,27,207,98,M
0,Athletics,40,176,98,F
0,Rowing,27,185,82,M
0,Shooting,28,157,54,F
0,Rowing,21,173,68,F
0,Athletics,26,170,62,F
0,Rowing,26,202,94,M
1,Swimming,24,198,94,M
0,Athletics,28,168,50,F
0,Athletics,23,,,M
0,Weightlifting,22,181,94,M
0,Football,21,167,62,F
0,Athletics,20,194,80,M
0,Athletics,25,191,91,M
0,Athletics,27,180,63,F
0,Athletics,26,185,78,M
0,Football,24,156,56,F
0,Rowing,28,198,98,M
0,Athletics,22,184,73,M
0,Swimming,20,,,F
0,Cycling - Road,30,184,82,M
0,Athletics,29,,,F
0,Modern Pentathlon,29,167,57,F
2,Swimming,27,203,104,M
0,Rowing,29,179,69,F
0,Sailing,19,177,66,M
0,Athletics,30,185,71,M
0,Equestrian,40,172,68,M
0,Badminton,28,171,65,F
0,Rowing,22,184,72,F
0,Swimming,26,196,76,M
0,Wrestling,22,169,62,F
0,Sailing,25,183,73,M
0,Swimming,23,172,65,F
0,Shooting,36,182,84,M
0,Handball,27,181,,F
0,Athletics,25,167,63,F
0,Basketball,23,195,82,F
1,Gymnastics - Artistic,16,146,,F
0,Rowing,26,190,92,M
0,Athletics,27,181,62,F
0,Cycling - Road,28,180,73,M
0,Sailing,25,167,62,F
0,Triathlon,30,170,60,F
1,Rowing,23,194,98,M
1,Judo,27,190,100,M
0,Synchronised Swimming,28,173,,F
0,Swimming,24,170,62,F
0,Tennis,27,180,78,F
0,Canoe Sprint,22,182,85,M
0,Water Polo,33,183,93,M
0,Cycling - Road,27,160,52,F
0,Handball,30,186,82,M
0,Handball,31,196,105,M
0,Gymnastics - Rhythmic,17,170,,F
0,Shooting,46,178,80,F
0,Judo,29,160,60,M
0,Swimming,16,170,55,F
0,Athletics,22,166,52,F
0,Wrestling,33,178,74,M
0,Wrestling,26,172,66,M
0,Equestrian,30,182,68,M
0,Athletics,24,170,58,M
0,Diving,32,,,M
0,Cycling - Track,24,,,F
0,Football,22,174,66,M
0,Football,22,181,73,M
0,Canoe Sprint,27,185,75,M
0,Football,28,192,84,M
0,Table Tennis,18,,,F
0,Handball,32,168,65,F
0,Wrestling,35,165,60,M
0,Archery,42,175,80,M
0,Handball,30,179,78,M
0,Judo,28,176,81,M
0,Equestrian,40,182,75,M
0,Football,23,187,82,M
0,Athletics,20,172,60,F
0,Handball,23,178,65,F
0,Weightlifting,19,155,58,F
1,Rowing,32,177,75,F
0,Taekwondo,22,189,,M
0,Handball,28,200,102,M
0,Volleyball,29,181,75,F
0,Badminton,37,173,73,M
0,Swimming,23,168,58,F
0,Handball,32,190,100,M
0,Cycling - Road,31,178,67,F
0,Hockey,23,162,62,F
0,Athletics,21,163,53,F
0,Basketball,28,204,112,M
0,Basketball,34,202,110,M
0,Swimming,18,160,50,M
0,Football,23,190,83,M
0,Rowing,30,197,93,M
0,Badminton,28,,,F
0,Fencing,29,174,51,F
0,Equestrian,44,175,60,M
0,Canoe Sprint,21,176,68,F
0,Swimming,20,173,59,F
0,Boxing,25,190,,M
0,Judo,22,164,63,F
0,Handball,22,172,61,F
0,Swimming,23,182,78,M
0,Water Polo,30,175,73,F
0,Rowing,27,187,76,M
0,Cycling - Road,26,184,75,M
1,Swimming,23,185,77,M
0,Swimming,20,174,68,M
0,Wrestling,28,170,74,M
0,Swimming,24,171,62,F
0,Swimming,20,194,83,M
0,Fencing,28,188,82,M
0,Athletics,27,183,60,M
0,Handball,27,199,105,M
0,Wrestling,23,,,F
0,Athletics,22,164,53,F
0,Swimming,21,175,60,F
0,Shooting,27,171,56,F
0,Athletics,33,196,127,M
0,Handball,31,191,95,M
1,Judo,30,160,63,F
0,Weightlifting,19,156,69,F
0,Water Polo,32,191,89,M
0,Tennis,27,170,56,F
0,Synchronised Swimming,26,174,,F
0,Water Polo,20,171,66,F
0,Rowing,29,196,98,M
0,Cycling - Track,23,180,76,M
0,Swimming,20,,,F
0,Rowing,30,190,93,M
0,Volleyball,31,167,58,F
0,Judo,27,166,63,F
0,Athletics,28,180,60,M
0,Cycling - Road,31,194,80,M
0,Judo,27,169,78,F
0,Volleyball,27,200,104,M
0,Sailing,23,187,80,M
0,Volleyball,22,188,73,F
0,Badminton,25,172,63,F
0,Canoe Sprint,17,171,63,M
0,Hockey,30,164,58,F
0,Tennis,25,190,77,M
0,Sailing,28,178,79,M
0,Athletics,29,185,88,M
0,Hockey,18,161,47,F
0,Athletics,23,167,56,F
0,Swimming,26,168,72,M
0,Rowing,35,196,97,M
0,Athletics,23,173,61,F
0,Table Tennis,28,174,69,F
0,Athletics,27,192,110,M
0,Judo,27,157,52,F
0,Cycling - Road,21,,,M
0,Boxing,23,,,M
0,Basketball,26,207,110,M
0,Swimming,18,183,86,M
0,Swimming,23,168,68,M
0,Hockey,23,183,83,M
0,Judo,26,165,73,M
0,Basketball,34,203,104,M
0,Rowing,21,180,76,F
0,Canoe Sprint,27,175,80,M
0,Cycling - Road,33,178,78,M
1,Swimming,17,175,68,M
0,Cycling - Road,25,168,52,F
0,Hockey,22,157,57,F
0,Athletics,34,169,50,F
0,Hockey,25,180,82,M
1,Rowing,29,176,69,F
0,Swimming,21,194,91,M
0,Swimming,19,180,66,F
0,Beach Volleyball,34,171,65,F
0,Taekwondo,21,166,,F
0,Canoe Sprint,17,171,65,F
0,Athletics,34,191,120,M
0,Boxing,30,186,,M
0,Wrestling,34,170,72,F
0,Shooting,26,180,85,M
0,Gymnastics - Artistic,24,163,,M
0,Rowing,29,206,98,M
0,Equestrian,19,168,72,M
0,Shooting,40,170,73,M
0,Wrestling,23,170,60,M
0,Swimming,21,165,52,F
0,Football,30,172,72,F
0,Football,30,170,65,F
0,Cycling - Track,28,170,61,F
0,Synchronised Swimming,21,173,,F
0,Basketball,35,168,62,F
0,Boxing,22,179,,M
0,Shooting,31,186,75,M
0,Volleyball,28,158,54,F
0,Hockey,26,163,55,F
0,Shooting,30,172,70,M
0,Table Tennis,20,184,75,M
0,Wrestling,24,156,55,F
1,Swimming,30,183,85,M
0,Canoe Sprint,30,170,66,F
0,Sailing,25,178,72,F
0,Shooting,31,180,90,M
0,Cycling - Track,20,180,73,M
0,Handball,24,196,98,M
0,Cycling - Track,22,167,68,F
1,Rowing,29,179,73,F
0,Tennis,29,181,63,F
0,Basketball,21,190,83,F
1,Swimming,17,185,80,M
0,Sailing,27,171,58,M
0,Water Polo,25,202,110,M
0,Handball,32,181,,F
0,Canoe Sprint,25,181,85,M
0,Boxing,19,184,,M
0,Athletics,28,196,96,M
0,Basketball,22,196,100,M
0,Rowing,34,197,87,M
1,Swimming,25,183,69,F
0,Handball,22,193,93,M
0,Equestrian,26,178,57,F
0,Handball,23,185,84,F
0,Volleyball,25,188,79,F
0,Taekwondo,25,174,,F
0,Athletics,20,174,72,M
0,Athletics,28,168,61,F
0,Hockey,26,173,71,M
0,Athletics,29,198,115,M
0,Athletics,21,167,55,F
0,Athletics,30,,,F
0,Rowing,26,186,89,M
0,Athletics,25,170,64,M
0,Swimming,19,183,98,M
0,Athletics,20,181,81,M
0,Hockey,23,167,55,F
0,Triathlon,34,170,60,F
1,Judo,22,173,75,F
0,Tennis,20,188,82,M
0,Hockey,20,170,60,F
0,Diving,25,169,69,M
0,Judo,29,160,52,F
0,Swimming,19,188,79,M
0,Water Polo,25,178,100,F
0,Gymnastics - Artistic,20,152,,F
0,Trampoline,23,160,,F
0,Table Tennis,50,173,72,M
1,Diving,21,159,51,F
0,Rowing,28,172,60,F
0,Football,27,173,63,F
0,Canoe Sprint,27,183,87,M
0,Football,24,168,59,F
0,Handball,28,199,94,M
0,Rowing,26,168,56,F
1,Swimming,24,180,67,F
0,Swimming,22,179,74,M
0,Equestrian,37,170,68,M
0,Athletics,30,171,63,F
0,Athletics,34,171,58,M
0,Modern Pentathlon,23,,,M
0,Rowing,24,180,75,F
0,Cycling - Road,35,180,74,M
0,Cycling - Mountain Bike,20,158,49,F
