Total ,Sport,Age,Height,Weight,Sex
0,Athletics,28,158,42,F
0,Football,20,176,75,M
0,Shooting,39,,,M
0,Swimming,18,175,65,M
0,Athletics,23,166,55,F
0,Football,23,170,66,M
0,Swimming,24,205,110,M
0,Cycling - Road,31,172,67,M
0,Weightlifting,24,192,156,M
0,Basketball,26,172,62,F
0,Equestrian,41,165,64,F
0,Handball,29,178,81,F
0,Football,23,176,76,M
0,Rowing,23,183,76,F
0,Athletics,20,,,F
0,Cycling - Road,29,,,M
0,Athletics,27,185,74,M
0,Athletics,39,172,62,F
0,Sailing,23,172,68,F
0,Wrestling,28,178,87,M
0,Shooting,45,180,100,M
0,Judo,21,,65,M
0,Hockey,27,184,75,M
0,Hockey,31,171,71,M
0,Taekwondo,24,154,,F
0,Sailing,26,171,60,F
0,Athletics,26,,83,M
0,Athletics,40,199,135,M
0,Boxing,27,164,,M
0,Rowing,22,189,94,M
0,Swimming,19,185,75,M
0,Wrestling,20,185,96,M
0,Cycling - BMX,21,164,62,F
0,Athletics,24,186,75,M
0,Canoe Sprint,20,188,89,M
0,Water Polo,26,197,100,M
0,Volleyball,29,200,96,M
0,Football,21,173,66,M
0,Swimming,25,175,75,M
0,Athletics,30,171,60,F
0,Athletics,18,,,M
0,Athletics,26,178,65,F
0,Fencing,20,184,82,M
0,Canoe Sprint,34,185,85,M
0,Wrestling,22,191,96,M
0,Swimming,20,185,80,M
0,Swimming,17,170,72,F
0,Equestrian,40,158,53,F
1,Equestrian,37,162,55,F
0,Athletics,29,,,M
0,Table Tennis,25,174,85,M
0,Wrestling,27,176,72,F
0,Athletics,23,167,61,M
0,Athletics,27,190,83,M
0,Fencing,37,176,68,M
0,Athletics,28,,,M
0,Athletics,17,,,F
0,Swimming,15,165,60,M
0,Handball,26,200,110,M
0,Fencing,25,185,72,M
0,Shooting,36,175,85,M
0,Wrestling,26,175,74,M
0,Wrestling,22,170,60,M
0,Swimming,27,179,68,F
0,Athletics,37,,,M
0,Swimming,29,165,55,F
0,Badminton,30,162,57,F
0,Basketball,22,188,86,F
0,Shooting,40,169,67,F
0,Football,22,170,65,M
0,Swimming,20,170,65,F
0,Athletics,23,180,73,M
0,Boxing,19,171,,M
0,Swimming,25,183,73,M
0,Athletics,27,169,55,M
0,Tennis,26,183,84,M
0,Shooting,27,,,M
0,Shooting,35,,,M
0,Athletics,20,,,F
0,Boxing,26,,,M
0,Football,23,182,63,M
0,Swimming,23,182,87,M
0,Athletics,24,185,88,M
0,Swimming,27,174,74,M
0,Handball,28,180,64,F
0,Gymnastics - Artistic,31,163,,M
0,Football,28,169,62,F
0,Athletics,23,176,72,F
0,Boxing,23,164,,M
0,Handball,28,172,65,F
0,Boxing,21,175,,M
0,Handball,24,187,86,M
0,Athletics,25,171,79,M
0,Weightlifting,31,,94,M
0,Shooting,27,,,F
0,Shooting,48,180,95,M
0,Shooting,19,176,70,M
0,Swimming,34,180,65,F
0,Sailing,32,181,84,M
0,Handball,27,170,,F
0,Judo,23,175,78,F
0,Football,25,157,56,F
0,Football,20,170,70,M
0,Archery,21,174,90,M
0,Weightlifting,32,,56,M
0,Boxing,21,,,M
1,Judo,26,174,70,F
0,Athletics,31,182,66,M
0,Volleyball,26,194,88,M
0,Gymnastics - Rhythmic,18,174,,F
0,Football,22,173,64,M
0,Canoe Sprint,24,,,F
0,Cycling - Road,25,181,72,M
0,Athletics,18,175,58,M
0,Swimming,18,174,61,F
0,Volleyball,31,201,86,M
0,Judo,28,162,57,F
0,Hockey,34,183,78,M
0,Athletics,24,198,54,F
0,Athletics,22,177,86,M
0,Synchronised Swimming,25,165,,F
0,Boxing,26,,,M
0,Equestrian,32,177,75,M
0,Shooting,19,160,55,F
0,Athletics,32,168,54,F
0,Cycling - Road,23,169,53,F
0,Basketball,21,208,,M
0,Basketball,24,210,,M
0,Handball,25,186,84,F
0,Handball,29,167,62,F
0,Athletics,18,179,60,M
0,Weightlifting,17,,80,F
0,Football,25,178,81,M
0,Wrestling,23,161,55,F
0,Football,23,187,90,M
1,Judo,32,160,52,F
0,Athletics,28,177,66,F
0,Water Polo,23,180,70,F
0,Judo,27,187,100,M
0,Athletics,26,176,65,M
0,Swimming,22,187,68,M
0,Basketball,32,212,102,M
0,Shooting,27,169,75,F
1,Swimming,21,173,64,F
0,Swimming,20,178,68,F
0,Synchronised Swimming,19,162,,F
0,Volleyball,25,208,93,M
0,Basketball,24,175,70,F
0,Handball,29,201,110,M
0,Handball,34,185,90,M
0,Athletics,31,170,55,F
0,Boxing,25,172,,F
0,Football,30,164,57,F
0,Football,21,185,79,M
0,Cycling - Road,34,171,63,M
0,Sailing,32,172,77,M
0,Football,20,172,62,F
0,Wrestling,28,165,55,F
0,Volleyball,31,200,97,M
0,Athletics,26,172,70,M
0,Athletics,36,180,70,M
0,Swimming,19,174,64,F
0,Athletics,28,168,58,F
0,Swimming,20,189,76,F
0,Shooting,37,173,68,M
0,Shooting,16,162,55,F
0,Judo,22,196,120,M
0,Wrestling,25,189,102,M
0,Rowing,22,194,95,M
0,Cycling - Road,25,170,56,F
0,Rowing,36,178,75,F
0,Swimming,26,181,80,M
0,Shooting,34,168,60,M
0,Wrestling,27,164,60,M
0,Athletics,22,,,F
0,Sailing,27,177,77,M
0,Gymnastics - Artistic,31,162,,M
0,Taekwondo,21,181,,F
0,Athletics,23,170,60,M
0,Athletics,28,162,63,F
0,Athletics,32,172,56,M
0,Weightlifting,28,192,105,M
0,Judo,35,165,63,F
0,Water Polo,18,168,60,F
0,Wrestling,21,168,55,F
0,Basketball,28,203,104,M
0,Judo,22,187,90,M
0,Athletics,29,,,F
0,Beach Volleyball,28,176,68,F
0,Athletics,23,177,69,M
0,Basketball,23,202,97,M
0,Water Polo,20,170,55,F
0,Water Polo,19,168,50,F
0,Cycling - Road,30,174,55,F
0,Rowing,25,175,73,F
0,Rowing,20,177,70,F
0,Weightlifting,23,174,95,M
0,Athletics,31,178,69,F
0,Football,18,,,M
0,Athletics,31,184,115,M
0,Volleyball,29,203,106,M
0,Fencing,26,180,78,M
0,Table Tennis,26,186,74,M
0,Athletics,30,172,50,M
0,Football,22,165,62,M
0,Volleyball,28,186,80,F
0,Swimming,17,162,60,F
0,Shooting,30,170,83,M
0,Cycling - Track,25,172,62,M
0,Rowing,24,198,100,M
0,Athletics,18,168,58,M
0,Cycling - Road,27,171,64,M
0,Boxing,30,169,,F
0,Football,20,187,77,M
0,Athletics,26,176,61,M
0,Athletics,26,177,65,M
0,Athletics,20,,,F
0,Cycling - Track,23,182,79,M
0,Basketball,32,212,115,M
0,Hockey,31,186,78,M
0,Basketball,31,199,,M
0,Athletics,26,171,55,F
0,Boxing,26,176,,M
0,Athletics,22,170,52,F
0,Athletics,18,,,F
0,Wrestling,22,,,M
0,Athletics,25,190,85,M
0,Athletics,19,,,M
0,Football,30,168,73,M
0,Swimming,17,168,58,F
0,Football,26,170,62,F
0,Football,20,178,72,M
0,Volleyball,20,192,68,F
0,Boxing,21,170,,M
0,Athletics,21,175,62,M
0,Football,24,158,53,F
0,Football,21,160,52,F
